Seasons,Arsenal ,Chelsea,Liverpool,Manchester City,Manchester United,Tottenham Hotspur
2010-11,20.7,109.35,87.95,165.24,26.37,23.94
2011-12,58.93,86.81,59.87,81.95,56.07,8.1
2012-13,50.4,98.73,63.54,55.76,68.81,65.93
2013-14,44.33,117.32,52.29,104.4,69.42,110.27
2014-15,107.08,123.93,136.29,92.52,175.82,43.63
2015-16,23.85,81.45,113.85,187.38,140.4,63.9
2016-17,101.74,119.52,71.91,193.5,166.5,75.15
2017-18,137.57,234.45,156.49,286.75,178.85,109.35
2018-19,72.14,187.92,163.98,70.73,74.43,0
2019-20,144.36,40.5,9.63,150.1,193.3,133.65
